"player_id";"last_known_name";"last_known_tag";"affiliation";"server";"enemy";"date_last_known";"discord";"city";"discord_server";"last_city";"last_seen_by";"enemy_updated";"updated_by";"history";"additional";"player_image"
"7777443";"CommanderCoopa";"PHAK [ex-~DS~ /WDSY/OPAS/SYN]";"A-TEAM / [FAMILY] PH-BE4R-PHAK [ALLIES] BERX-AAA1-AAA5-AAA6-AAA7-ASHY-#WAR";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/06/2022 00:00:00";"~DS~ [ex-WDSY/OPAS/SYN] - HitSquad / PH FAMILY / - CommanderCoopa - PHAK [ex-~DS~ /WDSY/OPAS/SYN] - ArmiaKrajowa / PH FAMILY /";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7780097";"xPOLICEMAN1989x";"PHAK [ex-~DS~/WDSY/OPAS/SYN]";"ArmiaKrajowa / PH FAMILY /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"08/05/2022 00:00:00";"~DS~ [ex-WDSY/OPAS/SYN] - HitSquad / PH FAMILY /";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7783077";"siwy66";"Phak [ex-OMC]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"OMC - ArmiaKrajowa / THERE IS NO DATA ON ALLIES OR FAMILY / IT IS SUSPECTED TO BE A SvAK BUILDING ALLIANCE OR HER SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7784465";"MMEvents";"phak";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"30/04/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7797075";"Bergow";"PHAK [ex-SVwo]";"ArmiaKrajowa / PH FAMILY /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"09/05/2022 00:00:00";"PHAK [ex-SVwo] - ArmiaKrajowa / PH FAMILY / ALLIES: AAA, BE4R";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7798805";"W.Archer";"PHAK [ex-WDEA/OPEA]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";"Belgrade Arms Minister";;;;;"09/05/2022 00:00:00";"[BIW]W.Archer - PHAK / R2 - PHAK - PH Family / PH Family Coalition - Allies";"CHANGE HIS NAME TO ""[BIW]W.Archer""";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7800067";"IggyIgorS";"Phak [ex-OMC][R4]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"OMC - ArmiaKrajowa / THERE IS NO DATA ON ALLIES OR FAMILY / IT IS SUSPECTED TO BE A SvAK BUILDING ALLIANCE OR HER SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7820416";"Grzegorz123";"Phak [ex-OMC]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"OMC - ArmiaKrajowa / THERE IS NO DATA ON ALLIES OR FAMILY / IT IS SUSPECTED TO BE A SvAK BUILDING ALLIANCE OR HER SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7820602";"Commander7820602";"PhAK";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"01/05/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7821026";"TaK";"Phak";"PHAK / PH FAMILY - - FILLER ALLIANCE FOR PHAK ALLIANCE - - / PHAK-EA /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";;"NO PRIOR DATA BEFORE THIS UPDATE";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7827972";"Alexander__";"PHAK [ex-P2WF]";"SNOWSTORM / FRIENDS: DS,VF17, ALL PH / FAMILY: ALL P2 AND SNOW";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"27/05/2022 00:00:00";"PHAK [ex-P2WF] - ArmiaKrajowa / PH FAMILY / ALLIES: AAA, BE4R - Alexander__ - PHAK [ex-P2WF] - ArmiaKrajowa / PH FAMILY /";"P2W AND PW FAMILY TO CONSIDER AS POTENTIAL ENEMY / SPY -- *** RELATIONSHIP WITH VF/VN ***--";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7836712";"MUSC-CoupeFreak";"PHAK";"ArmiaKrajowa / PH FAMILY / NO PRIOR DATA BEFORE THIS UPDATE";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"10/05/2022 00:00:00";"*** ATTENTION *** NOTIFIED MUSC-minimie [ID 7674973], GAVE ITS CONFORMITY AND RESPONDS FOR THEM.-";"*** ATTENTION *** NOTIFIED MUSC-minimie [ID 7674973], GAVE ITS CONFORMITY AND RESPONDS FOR THEM.-";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7837058";"NapoleonPolski";"Phak [ex-OMC]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"OMC - ArmiaKrajowa / THERE IS NO DATA ON ALLIES OR FAMILY / IT IS SUSPECTED TO BE A SvAK BUILDING ALLIANCE OR HER SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7841675";"BeanToad";"PHAK [ex-~DS~/WDSY/OPAS/SYN]";"ArmiaKraowa / FAMILY: PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"09/05/2022 00:00:00";"~DS~ [ex-WDSY/OPAS/SYN] - HitSquad / PH FAMILY /";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7843633";"Nguyennnnnnnnnn";"PHAK [ex-SVCB]";"ArmiaKrajowa / PH FAMILY /";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"09/05/2022 00:00:00";"SVCB - Chaos_Bandits / EX TMB ALLIANCE / ALLIES: SVCO, PACX, SVFM, 0902, FWWW, SVCA, SVS2, TTVBYTHEWAY12 / ENEMY: NLM1";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7844655";"~L3g3nD~";"PHAK [ex-~DS~/WDSY/S~D/VF-E/SYN]";"ArmiaKrajowa / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;"minimie ✌";"09/05/2022 00:00:00";"~DS~ [ex-WDSY/S~D/VF-E/SYN] - HitSquad / PH FAMILY /";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7848758";"Tankista";"Phak [ex-OMC][R4]";"ArmiaKrajowa /AK_ACADEMY / PH FAMILY";"17";"NAP";"22/05/22";"Not on Discord";;;;;;"02/05/2022 00:00:00";"OMC - ArmiaKrajowa / THERE IS NO DATA ON ALLIES OR FAMILY / IT IS SUSPECTED TO BE A SvAK BUILDING ALLIANCE OR HER SECOND ALLIANCE.";;"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
"7852830";"PrivateThor";"PHAK [ex-WDEA/OPEA][R4]";"A-TEAM / [FAMILY] PH-BE4R-PHAK [ALLIES] BERX-AAA1-AAA5-AAA6-AAA7-ASHY-#WAR";"17";"NAP";"17/6/2022 @ ";"Thor#9874";"Riga Dep Supreme Commander";"PHAK / EA";;;;"02/06/2022 00:00:00";"BIW~PrivateThor - PHAK / R4 - PHAK - PH Family / PH Family Coalition - Allies - PrivateThor - PHAK [ex-WDEA/OPEA][R4] - ArmiaKrajowa / PH FAMILY /";"[ CHANGE HIS NAME TO "" Private~Thor "" ]";"https://i.ibb.co/gm9c3x5/no-image-icon-10.png"
